SEÑA ESPERADA,HUAWEI/5001,DISTANCIA TOTAL,#INCIDENCIAS,FALSAS,SAMSUNG-B/5000,DISTANCIA TOTAL.1,#INCIDENCIAS.1,FALSAS.1,S8/5003,DISTANCIA TOTAL.2,#INCIDENCIAS.2,FALSAS.2,TIPO,PERSONA
MAL,MAL,74734.049,13,-,MAL,65131.134,13,-,MAL,121074.851,13,-,1,2
NO,NO,219207.233,13,-,NO,174505.718,10,N/R/U,NO,141872.699,8,N,1,2
PERDÓN,J,63351.22,5,PDN/I,I,68444.232,6,J/PERDÓN/SI,J,7331.657,5,I/PDN,1,2
SI,SI,124485.031,13,-,SI,112484.776,13,-,SI,120362.235,13,-,1,2
TU,TU,69543.948,6,D/L/Q,N,84562.828,7,E/NO/TU/Z,T,47813.922,2,B/CME/E/K/NO/TU/U/X,1,2
YO,YO,89658.681,12,G,YO,94340.376,12,G,YO,110349.711,12,G,1,2
J,J,69299.88149,7,PERDÓNN/,J,52398.62051,6,I/PERDÓN,I,135830.7418,9,J,1,3
K,K,107811.992,8,P,K,92392.70462,7,P,K,97799.70755,8,P,1,3
Ñ,U,131625.4458,11,Ñ,U,100887.7834,11,Ñ,U,136613.7159,12,Ñ,1,3
Q,MAL,45291.1077,4,G/L/P/Q/TU/X/YO/Z,X,81874.91741,8,D/TU/YO/Z,TU,41458.63973,4,D/Q/TU/YO/Z,1,3
X,X,63226.34961,6,Q/TU,TU,67820.5727,7,Q/X/YO,TU,87653.35428,10,D/Q/X,1,3
Z,Z,89990.5469,8,D/I/K/R,Z,90127.59104,6,D/L,L,75187.53997,4,D/K/Q/R/T/TU/X,1,3
BIEN,BIEN,133477.8885,12,B/HOLA/ï,BIEN,87270.91608,6,BIEN/HOLA/M/MAL,BIEN,125021.0299,9,B/HOLA/MAL/ï,1,3
¿CÓMO ESTÁS?,¿CÓMO ESTÁS?,412432.4745,13,-,¿CÓMO ESTÁS?,309787.6661,12,B,¿CÓMO ESTÁS?,409472.1823,13,-,1,3
GRACIAS,GRACIAS,271263.1958,13,-,GRACIAS,214282.2911,13,-,GRACIAS,316012.3034,13,-,1,3
HOLA,HOLA,50999.21613,7,B/M/MAL,MAL,52245.99829,6,B/HOLA/M,HOLA,49037.70924,7,C/MAL/M/B,1,3
MAL,MAL,82754.80955,13,-,MAL,82019.34218,13,-,MAL,124352.1524,13,-,1,3
NO,NO,240086.3997,13,-,NO,185230.6929,11,N/R/U,NO,150650.3216,9,N,1,3
PERDÓN,J,79696.14913,5,PERDÓNN/,I,89254.25547,7,J/PERDÓNN/S,J,17685.00022,6,I/PERDÓN,1,3
SI,SI,133810.774,13,-,SI,134727.2144,13,-,SI,126506.6123,13,-,1,3
TU,TU,71565.63731,6,D/L/Q,N,90671.27878,8,E/NO/TU/Z,T,62672.3136,3,B/Â¿CÃ“MO ESTÃS?/E/K/NO/TU/,1,3
YO,YO,90311.23807,12,G,YO,101231.9877,13,G,YO,129785.5387,13,G,1,3
J,J,73197.738,7,I,J,53668.18,6,I/SI,PERDÓN,90255.393,6,A/E/I/T/Y,1,4
K,P,67274.44,6,K/R/U,K,68082.761,8,P,K,85014.108,7,P,1,4
Ñ,U,74611.935,6,N/R/ï¿,U,43157.125,5,N/R/ï¿,N,121359.729,7,U/R/ï¿,1,4
Q,Q,55302.096,4,D/TU/X,D,49557.068,4,Q/TU/X,Q,91107.908,5,D/TU/X/Z,1,4
X,Q,53468.254,4,D/TU/X/Z,Q,65184.133,5,D/TU/X/YO/Z,Q,90075.864,6,D/TU/X/YO,1,4
Z,Z,62245.308,5,K/R/S/TU/YO,Z,34776.292,3,I/K/L/NO/R/S/T/Z,Z,68171.729,4,K/NO/R/TU/YO,1,4
BIEN,BIEN,140106.913,9,M/MAL/ï¿,BIEN,106115.002,8,B/M/MAL,B,66204.199,4,BN/HLA/M/N,1,4
¿CÓMO ESTÁS?,¿CÓMO ESTÁS?,301272.746,11,A/Z,¿CÓMO ESTÁS?,43618.135,13,-,¿CÓMO ESTÁS?,323832.775,11,A,1,4
GRACIAS,GRACIAS,285956.811,13,-,GRACIAS,233013.692,13,-,GRACIAS,388923.568,13,-,1,4
HOLA,BIEN,59194.371,4,B/C/F/H/M/MAL,B,45325.23,7,HLA,HOLA,98354.508,9,B,1,4
MAL,MAL,107418.69,13,-,MAL,90105.918,13,-,MAL,144899.302,11,B/M,1,4
NO,NO,68075.129,7,N/U/V,NO,87839.057,9,N/U/V,V,51234.364,5,NO/U,1,4
PERDÓN,PERDÓN,117145.379,7,I/Y,PERDÓN,95710.495,8,I/J,I,105988.822,6,J/PERDÓN/SI/Y,1,4
SI,I,70316.573,6,J/SI,I,75437.181,7,J/SI,I,82106.748,7,J/SI,1,4
TU,TU,95662.291,7,K/L/N/NO/R/Z,N,54981.342,4,NO/TU/Z/ï¿,TU,155942.983,9,K/N/R/Z,1,4
YO,YO,97364.403,11,G,YO,130788.451,13,-,YO,150049.873,12,G,1,4
J,J,74135.039,8,H/I,J,61227.376,8,H/I,J,61549.518,8,I/SI,1,5
K,K,69698.226,7,P,P,61810.131,6,P,P,70196.242,7,K,1,5
Ñ,U,48425.592,5,N/NO/R/ï¿,N,56923.408,7,M/NO/R/ï¿,Ñ,39484.234,7,N/NO/R/U,1,5
Q,D,54307.781,3,K/L/P/Q/TU/X/YO/Z,Q,130929.7,11,TU/X,Q,137150.25,10,TU/X,1,5
X,YO,56143.762,5,G/O/TU/X,X,40681.516,3,G/P/Q/TU/YO/Z,X,21725.346,6,G/Q/TU/YO,1,5
Z,Z,97588.035,7,D/I/K/R,Z,69043.545,5,D/I/K/NO/R/TU/YO,Z,103009.492,7,D/I/K/L/R,1,5
BIEN,BIEN,42848.897,4,B/F/M/MAL/O/V,BIEN,75838.741,11,B/MAL,BIEN,81009.368,11,B/MAL,1,5
¿CÓMO ESTÁS?,¿CÓMO ESTÁS?,373233.038,12,O,¿CÓMO ESTÁS?,353108.924,12,O,¿CÓMO ESTÁS?,399643.668,12,O,1,5
GRACIAS,GRACIAS,202862.1,13,-,GRACIAS,185015.883,13,-,GRACIAS,200710.692,13,-,1,5
HOLA,HOLA,81055.063,10,B,HOLA,75834.514,10,B,H,71596.349,9,B,1,5
MAL,MAL,74484.297,11,B/M,BIEN,27878.246,3,B/C/F/GRACIAS/M/MAL,MAL,79175.396,11,B/MAL,1,5
NO,NO,23787.147,2,A/D/E/F/M/N/OU,N,42771.171,5,M/NO/O/X,NO,59011.528,6,M/NO,1,5
SI,SI,68384.298,8,H/I/J,I,82819.492,8,H/I/J,SI,67119.356,8,H/I/J,1,5
PERDÓN,PERDÓN,107077.332,7,Y,PERDÓN,91879.876,7,Y,PERDÓN,107089.633,8,J/Y,1,5
TU,TU,52692.572,4,N/R/U/X/Z,TU,61913.253,5,N/R/U/X/,TU,40801.466,3,N/NO/R/U/V/X/Z,1,5
YO,YO,166322.628,12,TU,YO,137220.826,12,TU,YO,177318.254,13,-,1,5
