 SEÑA ESPERADA,HUAWEI/5001,DISTANCIA TOTAL,#INCIDENCIAS,FALSAS,SAMSUNG-B/5000,DISTANCIA TOTAL.1,#INCIDENCIAS.1,FALSAS.1,S8/5003,DISTANCIA TOTAL.2,#INCIDENCIAS.2,FALSAS.2
M,0,35837.967,3,7,0,57424.006,7,3,0,57949.915,7,3
MAL,0,74484.297,11,2,0,27878.246,3,6,0,79175.396,11,2
N,0,52271.295,5,3,0,37099.305,4,3,0,53841.4,6,3
NO,0,23787.147,2,7,0,42771.171,5,4,0,59011.528,6,2
O,0,20558.496,2,8,0,77058.13,12,3,0,91861.443,13,1
P,0,92931.93,9,1,0,82434.427,9,1,0,93256.054,9,1
PDN,0,107077.332,7,1,0,91879.876,7,1,0,107089.633,8,2
Q,0,54307.781,3,8,0,130929.7,11,2,0,137150.25,10,2
R,0,83125.867,9,1,0,74697.674,9,1,0,137150.25,10,2
S,0,27283.688,4,3,0,42807.233,5,3,0,16204.521,4,4
SI,0,68384.298,8,3,0,82819.492,8,3,0,67119.356,8,3
T,0,83667.102,5,5,0,6446.442,6,3,0,85446.378,7,3
TU,0,52692.572,4,5,0,61913.253,5,5,0,40801.466,3,7
U,0,119670.984,11,2,0,97169.859,11,1,0,122722.666,12,1
V,0,149880.593,13,1,0,134990.252,13,1,0,147219.027,13,1
W,0,121050.139,13,1,0,119875.74,13,1,0,125064.952,13,1
X,0,56143.762,5,4,0,40681.516,3,6,0,21725.346,6,4
Y,0,104518.627,8,1,0,87548.649,8,1,0,77305.532,7,1
YO,0,166322.628,12,1,0,137220.826,12,1,0,177318.254,13,1
Z,0,97588.035,7,4,0,69043.545,5,7,0,103009.492,7,5
Ñ,0,48425.592,5,4,0,56923.408,7,4,0,39484.234,7,4
